"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)"
124.4,365.0,0.008,0.41,45.5
111.7,400.0,0.001,0.43,3.5
95.8,85.0,0.011,0.7,29.0
122.1,280.0,0.008,0.34,3.5
143.4,120.0,0.011,0.42,11.0
127.4,450.0,0.026,2.55,316.0
116.8,230.0,0.004,0.34,2.6
98.8,260.0,0.015,0.9,22.0
108.3,295.0,0.008,0.32,2.9
117.5,350.0,0.018,0.65,6.3
125.0,240.0,0.005,0.478,9.0
106.0,210.0,0.011,0.48,2.0
119.0,340.0,0.006,0.72,3.0
125.3,155.0,0.01,0.41,4.8
113.1,150.0,0.011,0.71,13.0
116.0,160.0,0.007,0.08,8.0
94.0,320.0,0.014,1.54,10.0
103.7,350.0,0.011,0.92,124.0
115.6,260.0,0.003,0.47,20.2
110.2,340.0,0.011,0.51,50.3
101.0,235.0,0.01,0.57,4.0
98.1,250.0,0.011,0.65,17.0
98.7,140.0,0.011,0.32,5.0
111.6,325.0,0.004,0.53,36.8
114.1,430.0,0.01,0.71,146.0
129.0,210.0,0.016,1.172,23.0
105.0,200.0,0.001,0.54,29.0
119.8,290.0,0.008,0.5,87.2
154.9,310.0,0.006,0.61,51.2
96.4,200.0,0.011,0.89,64.0
111.4,260.0,0.002,0.28,10.0
118.0,320.0,0.005,0.62,65.2
119.5,320.0,0.004,0.45,16.5
100.3,260.0,0.011,0.5,5.0
112.0,200.0,0.006,0.51,2.0
101.0,250.0,0.002,0.21,38.0
135.0,410.0,0.008,0.76,113.0
115.0,260.0,0.007,0.81,31.0
118.1,200.0,0.003,0.46,13.2
152.1,265.0,0.002,0.54,26.4
97.4,400.0,0.011,0.89,236.0
96.6,450.0,0.013,1.65,136.0
98.1,250.0,0.011,0.45,7.0
120.4,150.0,0.011,1.02,71.0
94.6,290.0,0.011,0.75,27.0
100.4,225.0,0.011,0.41,9.0
99.0,420.0,0.006,2.193,15.0
105.0,530.0,0.008,1.06,171.0
100.9,250.0,0.011,0.6,10.0
114.9,220.0,0.001,0.45,3.8
118.0,160.0,0.005,0.49,11.9
165.0,340.0,0.005,0.28,4.3
105.0,85.0,0.002,0.37,8.0
111.3,330.0,0.054,1.06,263.0
102.0,270.0,0.003,0.5,6.0
107.0,180.0,0.005,0.51,6.0
97.3,220.0,0.011,0.57,2.0
100.0,220.0,0.004,0.42,2.0
123.8,245.0,0.01,0.7,31.3
114.0,450.0,0.054,2.5,570.0
96.7,210.0,0.011,0.89,3.0
99.0,120.0,0.008,0.56,9.0
88.0,160.0,0.011,0.79,78.0
98.6,1000.0,0.011,0.84,47.0
105.0,200.0,0.003,0.51,7.6
107.4,190.0,0.005,0.43,5.9
100.1,140.0,0.011,0.35,2.0
110.0,240.0,0.014,0.58,13.4
92.7,80.0,0.011,0.56,5.0
130.1,240.0,0.007,1.07,176.0
113.5,150.0,0.005,0.48,3.4
87.0,170.0,0.012,0.6,8.0
98.0,220.0,0.007,0.252,8.0
98.0,180.0,0.011,0.25,2.0
116.4,310.0,0.011,1.01,115.0
114.0,240.0,0.01,0.49,7.4
102.5,140.0,0.002,0.28,4.9
127.0,190.0,0.006,0.4,10.0
116.0,140.0,0.003,0.3,3.7
108.0,130.0,0.036,0.83,19.0
107.9,200.0,0.011,0.69,6.0
84.7,130.0,0.004,0.34,7.0
97.1,155.0,0.011,0.59,70.0
107.0,170.0,0.003,0.48,28.7
136.1,235.0,0.011,0.76,6.0
106.0,140.0,0.003,0.31,3.0
104.0,120.0,0.019,0.5,5.0
113.0,280.0,0.003,0.42,5.5
101.0,120.0,0.003,0.55,10.0
126.8,180.0,0.004,0.29,2.0
94.5,125.0,0.011,0.62,4.0
117.5,160.0,0.001,0.32,5.0
102.1,200.0,0.002,0.31,3.6
115.0,170.0,0.001,0.34,6.8
81.6,350.0,0.011,1.27,60.0
102.2,210.0,0.005,0.41,10.5
113.2,220.0,0.011,0.4,2.0
96.0,125.0,0.004,0.2,2.0
102.0,310.0,0.005,0.91,99.8
119.8,170.0,0.011,0.27,2.0
104.5,300.0,0.011,0.55,3.0
94.0,130.0,0.0009,0.33,7.0
93.0,370.0,0.009,1.42,246.0
104.0,130.0,0.003,0.3,6.0
119.9,205.0,0.003,0.24,2.2
119.2,90.0,0.011,0.3,2.0
124.2,180.0,0.011,0.45,7.0
91.0,230.0,0.002,0.64,6.0
99.4,210.0,0.002,0.37,6.4
113.0,220.0,0.003,0.29,2.4
124.5,100.0,0.011,0.33,28.0
98.3,350.0,0.011,0.39,2.0
127.0,275.0,0.004,0.46,21.4
110.0,100.0,0.003,0.52,2.0
123.5,140.0,0.006,0.42,9.2
101.1,330.0,0.002,0.55,23.2
117.8,245.0,0.011,0.72,2.0
70.2,235.0,0.011,0.47,2.0
106.0,490.0,0.008,0.46,8.0
100.0,260.0,0.009,0.43,17.5
115.6,475.0,0.004,0.41,5.0
151.1,475.0,0.005,0.18,4.4
95.9,350.0,0.011,0.2,3.0
141.9,540.0,0.004,0.53,1.6
100.7,150.0,0.01,0.96,21.0
90.0,320.0,0.002,0.1,2.0
115.5,390.0,0.019,0.34,20.4
123.0,210.0,0.009,1.401,6.0
84.4,220.0,0.007,1.76,35.0
104.0,520.0,0.005,0.21,4.4
104.0,500.0,0.015,1.4,38.8
95.8,330.0,0.015,0.72,14.0
123.0,380.0,0.007,0.24,11.0
79.0,380.0,0.005,0.3,8.0
104.0,390.0,0.004,0.2,7.0
99.7,350.0,0.006,0.23,2.9
107.0,280.0,0.006,0.18,4.1
103.0,330.0,0.019,0.83,8.8
127.3,420.0,0.015,0.42,4.3
112.3,340.0,0.004,0.31,2.7
126.9,375.0,0.013,0.27,11.2
112.3,240.0,0.009,0.39,10.3
107.0,380.0,0.004,0.31,3.2
110.0,190.0,0.008,0.17,8.1
102.0,276.0,0.022,0.99,57.4
131.7,460.0,0.006,0.26,4.0
104.0,380.0,0.006,0.25,2.7
122.8,305.0,0.009,0.37,2.0
98.0,210.0,0.011,0.43,12.7
103.6,190.0,0.006,0.27,4.9
108.2,340.0,0.008,0.19,1.6
106.0,340.0,0.008,0.27,13.4
109.0,280.0,0.011,0.48,6.0
123.1,335.0,0.005,0.36,4.2
128.0,240.0,0.007,0.52,15.0
103.0,270.0,0.008,0.44,4.0
117.1,250.0,0.006,0.39,6.8
109.1,385.0,0.007,0.69,18.0
96.9,200.0,0.008,0.45,2.0
37.8,320.0,0.011,0.32,5.0
99.4,250.0,0.012,0.67,11.0
139.9,320.0,0.007,0.72,4.1
104.7,420.0,0.004,0.2,2.0
108.0,180.0,0.007,0.41,10.5
112.1,290.0,0.009,0.59,23.0
93.7,350.0,0.012,0.31,17.0
113.7,420.0,0.004,0.33,8.1
149.8,310.0,0.004,0.25,6.4
98.0,250.0,0.004,0.463,2.0
120.8,340.0,0.003,0.29,3.4
121.6,275.0,0.009,0.34,12.0
114.4,250.0,0.018,0.72,5.1
93.3,250.0,0.015,1.88,190.8
111.0,320.0,0.004,0.34,11.0
96.2,200.0,0.017,0.97,19.0
129.0,200.0,0.004,0.64,5.0
124.6,490.0,0.011,0.33,2.7
137.7,650.0,0.004,0.48,6.8
119.0,270.0,0.006,0.08,5.0
90.5,225.0,0.009,0.92,4.0
98.2,360.0,0.011,0.89,37.0
115.3,340.0,0.007,0.44,9.8
113.6,550.0,0.011,0.66,4.7
99.0,230.0,0.008,0.52,7.0
109.0,320.0,0.006,0.74,87.7
127.8,320.0,0.008,0.53,24.6
99.5,250.0,0.005,0.21,31.0
116.0,220.0,0.002,0.5,8.0
116.4,210.0,0.011,0.2,4.0
125.0,290.0,0.01,0.5,20.0
132.4,400.0,0.006,0.5,12.2
126.0,280.0,0.008,0.2,3.0
93.6,290.0,0.007,0.49,11.0
144.0,120.0,0.006,0.43,2.0
109.7,280.0,0.004,0.4,12.3
108.0,390.0,0.007,0.26,3.3
123.0,230.0,0.004,0.35,7.6
103.6,380.0,0.015,0.45,68.6
103.0,200.0,0.007,0.5,16.9
94.0,260.0,0.011,0.61,72.6
106.0,310.0,0.003,0.33,10.2
118.1,375.0,0.006,0.32,14.8
145.3,345.0,0.006,0.45,9.5
123.0,330.0,0.005,1.022,2.0
122.0,500.0,0.007,0.25,2.4
110.1,600.0,0.014,0.78,32.7
104.0,430.0,0.005,0.26,3.1
115.1,340.0,0.008,0.31,4.1
141.0,220.0,0.005,0.25,2.2
118.7,410.0,0.011,0.34,3.0
103.3,350.0,0.01,0.26,4.2
117.3,270.0,0.012,0.42,3.9
113.0,335.0,0.007,0.34,2.4
92.4,200.0,0.012,0.33,3.3
98.0,250.0,0.019,0.3,5.6
120.4,295.0,0.011,0.41,5.7
112.8,190.0,0.036,0.6,65.6
100.0,430.0,0.011,0.33,14.7
106.0,315.0,0.012,0.28,4.1
101.8,260.0,0.014,0.24,40.7
108.4,280.0,0.012,0.21,6.4
105.0,215.0,0.014,0.47,23.4
102.0,210.0,0.012,0.38,6.7
90.3,280.0,0.016,0.58,11.4
110.8,250.0,0.011,0.23,5.0
108.0,390.0,0.02,0.21,21.1
98.0,240.0,0.009,0.29,17.3
138.0,370.0,0.014,0.44,20.9
110.2,190.0,0.008,0.28,8.5
103.6,380.0,0.01,0.21,20.0
90.0,500.0,0.016,0.62,59.0
114.0,210.0,0.008,0.17,13.4
105.0,290.0,0.008,0.46,9.7
91.7,410.0,0.004,0.33,22.2
109.0,390.0,0.01,0.23,7.2
74.0,190.0,0.009,0.22,15.4
115.6,260.0,0.01,0.31,6.9
95.7,800.0,0.028,0.83,258.0
78.0,310.0,0.006,0.15,3.8
102.0,190.0,0.005,0.29,7.1
116.4,380.0,0.013,0.16,2.5
112.5,205.0,0.003,0.22,2.3
122.7,230.0,0.007,0.2,5.6
101.4,330.0,0.009,0.16,5.5
101.0,350.0,0.004,0.18,10.9
103.0,330.0,0.013,0.63,38.8
92.2,200.0,0.004,0.35,30.1
103.0,300.0,0.008,0.21,11.5
93.0,270.0,0.018,1.03,61.1
92.0,360.0,0.008,0.22,29.7
102.0,375.0,0.011,0.18,3.9
93.0,460.0,0.009,0.28,2.1
96.0,275.0,0.01,0.47,7.5
102.1,340.0,0.01,0.22,2.6
111.0,340.0,0.006,0.24,9.8
99.1,305.0,0.004,0.23,1.2
107.5,380.0,0.009,0.43,7.7
112.0,200.0,0.006,0.44,6.3
121.7,265.0,0.01,0.24,6.2
98.3,410.0,0.01,0.45,5.7
102.7,150.0,0.061,1.3,6.3
115.0,160.0,0.043,1.71,7.0
102.3,410.0,0.05,1.56,4.7
108.1,300.0,0.033,1.44,72.0
139.8,300.0,0.065,1.67,3.7
104.4,300.0,0.054,1.69,2.0
116.0,140.0,0.131,1.47,6.0
121.5,375.0,0.035,0.6,5.0
97.6,1000.0,0.056,3.88,108.0
135.3,250.0,0.062,1.28,8.0
103.5,450.0,0.055,2.37,15.0
97.4,410.0,0.091,2.02,97.0
143.0,450.0,0.048,1.065,5.0
120.7,180.0,0.081,2.32,9.8
125.0,260.0,0.1,1.52,62.0
105.0,205.0,0.045,0.974,8.0
104.5,190.0,0.066,0.67,2.3
97.0,340.0,0.051,1.01,14.0
121.6,270.0,0.059,0.76,2.0
264.3,450.0,0.039,1.38,53.0
129.0,220.0,0.055,0.8,4.0
131.4,210.0,0.038,1.27,95.6
119.0,280.0,0.034,0.59,5.9
120.0,300.0,0.048,1.01,8.0
107.5,240.0,0.055,1.05,6.0
124.1,250.0,0.073,1.27,5.0
160.8,300.0,0.069,0.58,3.6
108.8,310.0,0.039,0.93,2.0
118.1,385.0,0.031,0.54,10.1
122.0,210.0,0.042,0.68,1.5
117.0,210.0,0.053,0.95,7.0
139.0,180.0,0.056,0.83,8.4
152.0,150.0,0.045,0.3,7.1
186.7,185.0,0.043,0.54,1.7
128.7,180.0,0.034,0.77,2.5
118.0,270.0,0.049,0.9,15.0
106.0,250.0,0.05,1.26,2.0
130.0,200.0,0.679,0.978,2.0
114.8,270.0,0.046,1.0,2.0
108.5,195.0,0.024,0.42,4.7
96.5,340.0,0.135,1.76,28.0
115.2,250.0,0.031,0.76,3.0
130.2,240.0,0.046,0.56,2.0
97.9,600.0,0.029,1.13,40.0
130.0,280.0,0.052,0.74,12.0
116.0,250.0,0.07,1.3,3.0
157.0,330.0,0.036,0.68,2.1
105.9,310.0,0.059,1.81,6.0
99.0,215.0,0.053,1.0,14.0
104.1,300.0,0.046,1.94,5.0
125.5,240.0,0.034,0.679,2.0
117.4,110.0,0.045,1.42,3.0
112.0,65.0,0.05,1.26,79.0
102.0,170.0,0.043,1.5,14.5
97.1,320.0,0.074,1.3,2.0
116.5,300.0,0.062,1.14,27.4
127.5,300.0,0.042,0.66,2.0
133.0,230.0,0.052,1.25,4.0
111.9,90.0,0.073,1.5,11.9
141.3,280.0,0.052,0.95,4.0
152.26,320.0,0.019,0.69,6.7
100.8,450.0,0.055,2.28,33.0
160.0,320.0,0.039,1.231,3.0
145.2,155.0,0.049,0.74,1.7
118.7,340.0,0.068,1.88,9.0
121.1,110.0,0.105,1.58,11.0
124.8,200.0,0.062,1.69,6.1
141.0,110.0,0.037,3.29,7.0
142.7,310.0,0.056,1.44,9.5
112.0,220.0,0.066,1.92,18.0
128.0,180.0,0.089,0.08,7.0
142.2,265.0,0.072,0.89,91.6
102.4,500.0,0.072,3.65,15.0
112.4,460.0,0.06,1.33,7.0
110.5,550.0,0.05,1.12,20.1
171.5,300.0,0.052,1.08,9.2
106.0,260.0,0.072,1.74,58.0
129.7,250.0,0.055,1.33,4.0
124.0,300.0,0.038,1.272,2.0
131.2,280.0,0.031,1.07,6.0
140.0,160.0,0.019,1.13,4.0
115.1,150.0,0.041,0.67,7.7
116.8,260.0,0.047,0.572,10.2
206.3,270.0,0.038,1.09,7.0
172.9,240.0,0.043,0.94,4.9
132.8,500.0,0.055,1.45,4.0
153.9,800.0,0.064,2.86,14.0
138.4,200.0,0.07,0.74,2.1
162.0,240.0,0.075,1.098,2.0
113.1,330.0,0.044,0.83,25.9
120.0,160.0,0.038,1.05,112.0
141.3,290.0,0.053,0.74,2.0
113.0,220.0,0.025,0.53,4.0
142.1,400.0,0.046,0.79,18.9
169.2,250.0,0.033,0.5,3.3
114.0,180.0,0.041,0.95,4.0
127.7,305.0,0.055,1.12,7.0
143.5,240.0,0.029,0.88,5.1
112.5,80.0,0.055,1.07,36.0
151.5,350.0,0.035,0.73,14.0
177.9,310.0,0.055,1.1,4.0
134.2,225.0,0.055,1.5,3.0
123.3,255.0,0.061,0.97,3.9
144.5,210.0,0.018,1.24,5.0
118.7,120.0,0.037,0.88,46.4
144.7,270.0,0.058,1.48,2.0
188.4,260.0,0.083,1.07,5.1
144.0,270.0,0.046,0.39,6.4
200.6,180.0,0.1,0.72,7.2
140.4,335.0,0.093,1.23,9.1
141.0,295.0,0.075,1.62,9.0
135.6,300.0,0.136,1.85,9.0
118.0,190.0,0.064,1.02,5.0
116.8,60.0,0.061,0.84,84.0
194.0,240.0,0.0009,0.71,8.0
148.5,265.0,0.067,0.8,7.2
95.6,250.0,0.127,2.34,13.0
149.6,100.0,0.204,1.5,2.0
103.7,355.0,0.066,1.43,54.0
110.5,240.0,0.05,1.29,127.0
193.7,85.0,0.122,0.99,11.0
141.0,200.0,0.163,0.96,2.6
106.0,270.0,0.04,0.93,133.0
151.9,280.0,0.075,0.71,8.0
117.0,250.0,0.127,1.04,3.0
160.4,290.0,0.088,0.71,5.0
123.0,130.0,0.158,0.64,2.0
181.0,285.0,0.096,0.8,5.0
151.4,240.0,0.117,1.01,2.5
157.2,250.0,0.114,0.51,7.6
151.5,285.0,0.13,0.91,6.0
119.0,210.0,0.0009,1.29,15.0
132.0,180.0,0.194,1.38,4.8
83.9,230.0,0.08,0.75,5.0
93.8,390.0,0.046,1.7,284.0
126.0,200.0,0.117,0.98,8.0
166.0,240.0,0.082,0.79,3.0
115.7,250.0,0.063,0.99,159.0
120.9,275.0,0.071,1.1,3.0
141.0,270.0,0.108,1.0,5.0
145.0,260.0,0.14,0.62,2.1
121.0,340.0,0.099,1.13,2.0
96.7,600.0,0.028,1.31,162.0
147.0,230.0,0.188,0.74,4.1
137.5,260.0,0.055,0.65,4.3
107.1,245.0,0.055,1.14,21.0
205.6,240.0,0.064,0.48,9.0
98.9,385.0,0.328,1.22,6.0
100.0,240.0,0.249,1.068,25.0
97.6,340.0,0.067,0.89,8.2
131.2,90.0,0.061,0.68,3.0
136.1,320.0,0.025,0.71,11.0
96.9,255.0,0.078,2.26,54.0
108.0,230.0,0.098,0.9,3.0
113.0,300.0,0.066,0.8,5.0
119.7,350.0,0.04,0.56,6.4
217.8,225.0,0.291,0.85,3.0
122.0,410.0,0.06,1.3,54.7
155.3,200.0,0.102,0.89,2.0
120.0,220.0,0.131,1.06,4.7
114.4,200.0,0.041,0.61,3.7
122.0,250.0,0.054,0.72,2.0
145.8,320.0,0.111,0.88,4.0
105.1,180.0,0.067,1.0,13.6
91.0,270.0,0.08,1.76,46.0
97.4,220.0,0.128,2.96,15.0
174.4,225.0,0.075,0.63,2.2
117.5,220.0,0.083,1.19,2.0
98.0,1150.0,0.02,0.65,8.0
97.9,200.0,0.007,0.41,5.3
120.4,255.0,0.002,0.14,2.1
158.3,760.0,0.005,0.31,5.0
95.7,540.0,0.011,0.27,5.0
158.9,350.0,0.005,0.38,3.4
86.0,360.0,0.007,0.12,6.0
120.0,310.0,0.022,0.39,13.4
123.0,350.0,0.004,1.305,2.0
90.5,120.0,0.018,1.02,14.0
102.6,855.0,0.007,0.31,4.5
92.8,200.0,0.011,0.73,10.0
98.1,370.0,0.011,0.43,8.0
120.0,810.0,0.006,0.47,3.0
83.0,130.0,0.006,0.726,7.9
101.0,200.0,0.007,0.29,66.9
105.2,280.0,0.005,0.34,3.6
108.0,240.0,0.012,0.51,3.9
102.0,270.0,0.007,1.02,9.6
128.4,330.0,0.008,0.38,3.5
114.6,170.0,0.004,0.4,1.4
124.0,410.0,0.005,0.22,9.2
120.2,365.0,0.006,0.47,7.0
112.0,230.0,0.004,0.39,4.0
106.0,165.0,0.007,0.27,12.8
104.0,300.0,0.014,1.01,12.4
130.8,220.0,0.003,0.28,2.2
104.1,285.0,0.004,0.33,1.6
120.4,195.0,0.007,0.4,1.3
87.0,165.0,0.007,0.8200000000000001,7.7
101.5,210.0,0.003,0.31,6.3
102.7,350.0,0.006,0.28,1.8
101.0,190.0,0.01,0.85,7.8
124.0,170.0,0.007,0.67,11.0
109.0,290.0,0.005,0.51,3.0
121.8,300.0,0.002,0.29,1.6
129.0,210.0,0.002,0.43,7.0
106.0,285.0,0.005,0.4,8.0
113.3,375.0,0.002,0.37,3.8
97.3,200.0,0.005,0.58,2.0
38.0,250.0,0.014,0.74,66.0
98.1,265.0,0.004,1.12,52.0
160.9,740.0,0.005,0.34,3.5
98.8,200.0,0.005,0.35,2.0
106.0,210.0,0.005,0.4,4.8
116.3,300.0,0.003,0.38,7.9
97.5,220.0,0.011,0.38,9.0
108.4,700.0,0.004,0.37,5.7
112.0,65.0,0.004,0.6,3.0
146.6,455.0,0.007,0.34,3.9
97.0,340.0,0.006,0.5,5.0
122.7,220.0,0.002,0.38,1.8
110.6,270.0,0.007,0.31,4.6
99.2,425.0,0.007,0.45,10.8
91.8,180.0,0.007,0.84,49.7
100.0,770.0,0.006,0.39,12.0
97.0,390.0,0.011,0.77,48.0
121.0,180.0,0.003,0.76,2.0
125.0,450.0,0.011,0.34,4.2
145.8,790.0,0.006,0.82,7.8
109.0,465.0,0.004,0.08,4.0
88.6,510.0,0.01,0.74,7.0
98.6,340.0,0.011,0.6,26.0
116.3,340.0,0.003,0.39,8.8
108.0,450.0,0.005,0.41,5.1
101.0,280.0,0.029,0.59,3.0
106.1,350.0,0.002,0.47,14.1
127.5,310.0,0.005,0.43,15.9
96.7,225.0,0.006,0.49,15.5
111.0,260.0,0.002,0.47,8.0
96.2,210.0,0.011,0.2,2.0
118.1,285.0,0.005,0.3,4.4
132.4,460.0,0.005,0.4,8.6
126.0,250.0,0.005,0.2,4.0
96.8,85.0,0.005,0.54,12.0
74.3,320.0,0.003,0.38,6.4
120.2,280.0,0.006,0.26,9.9
101.0,390.0,0.005,0.52,30.2
123.4,295.0,0.004,0.38,5.8
105.0,180.0,0.004,0.5,15.6
101.1,250.0,0.013,0.75,26.1
97.0,180.0,0.017,1.14,13.5
103.0,255.0,0.009,0.44,17.2
120.1,355.0,0.004,0.41,23.9
150.3,365.0,0.003,0.38,7.8
110.0,160.0,0.002,0.614,2.0
113.0,200.0,0.007,0.37,5.1
106.4,390.0,0.004,0.69,35.8
99.0,340.0,0.004,0.37,4.8
114.3,255.0,0.006,0.43,4.7
109.0,180.0,0.006,0.36,6.2
113.3,320.0,0.011,0.42,6.9
101.9,220.0,0.009,0.42,4.9
114.7,220.0,0.007,0.53,4.6
111.0,200.0,0.008,0.47,6.0
91.7,270.0,0.014,0.5,4.5
101.0,220.0,0.0139999999999999,0.77,16.0
132.6,305.0,0.008,0.42,4.1
115.1,210.0,0.011,0.47,29.4
115.0,150.0,0.074,1.06,16.7
116.0,200.0,0.019,1.225,34.5
115.2,175.0,0.008,0.37,3.4
130.0,200.0,0.008,0.37,3.1
113.0,270.0,0.007,0.35,6.9
111.0,240.0,0.011,0.41,8.5
92.5,300.0,0.008,0.57,12.0
119.1,195.0,0.007,0.34,5.0
158.0,315.0,0.013,0.38,6.1
102.0,150.0,0.0209999999999999,0.817,12.6
140.0,385.0,0.06,1.01,11.3
110.4,210.0,0.007,0.4,3.8
101.9,200.0,0.012,0.38,5.9
114.0,660.0,0.005,0.37,2.5
121.0,175.0,0.007,0.34,2.2
104.0,260.0,0.0349999999999999,2.37,33.9
96.7,265.0,0.009,0.49,5.2
103.2,180.0,0.022,0.46,6.9
102.0,140.0,0.025,0.89,8.6
119.3,220.0,0.009,0.41,9.8
97.9,635.0,0.007,0.63,64.2
83.0,265.0,0.011,0.8400000000000001,9.0
109.0,190.0,0.008,0.96,4.3
122.7,140.0,0.013,0.34,2.1
117.4,190.0,0.004,0.36,2.6
105.9,320.0,0.007,0.44,62.6
68.3,410.0,0.008,0.31,3.4
106.0,180.0,0.011,0.957,5.3
93.1,230.0,0.01,0.36,5.1
94.0,300.0,0.006,0.44,9.9
102.0,120.0,0.019,0.85,10.8
90.0,330.0,0.013,2.16,116.4
87.0,370.0,0.011,0.64,22.5
104.4,140.0,0.007,0.35,2.3
121.0,490.0,0.008,0.27,2.7
96.0,135.0,0.008,1.09,24.9
102.4,290.0,0.007,0.36,1.8
110.0,150.0,0.009,0.29,1.7
104.1,200.0,0.002,0.87,20.9
81.7,180.0,0.006,0.39,2.8
101.0,110.0,0.01,0.8899999999999999,30.7
119.0,245.0,0.006,0.32,3.0
99.9,210.0,0.006,0.53,10.5
102.8,-99.0,0.005,0.39,5.6
135.4,900.0,0.02,0.84,2.6
121.0,390.0,0.013,0.33,5.0
135.9,320.0,0.029,0.85,39.1
115.9,610.0,0.09,0.59,1.7
113.1,205.0,0.009,0.42,5.7
135.6,475.0,0.015,0.51,13.1
128.9,280.0,0.007,0.54,8.3
152.0,370.0,0.012,0.22,9.2
117.1,650.0,0.035,1.26,109.0
124.0,120.0,0.008,0.48,4.7
122.0,175.0,0.009,0.4,13.7
121.5,400.0,0.011,0.4,8.6
160.0,200.0,0.008,0.3,5.4
126.9,310.0,0.008,0.46,3.2
116.0,235.0,0.015,0.8,5.0
100.3,320.0,0.015,0.42,9.3
114.8,260.0,0.009,0.46,9.4
113.0,450.0,0.021,0.9,3.0
146.2,325.0,0.012,0.5,8.1
118.2,310.0,0.008,0.49,10.0
100.0,370.0,0.024,0.76,32.1
119.4,320.0,0.036,0.76,71.2
130.8,1000.0,0.013,0.47,2.7
138.3,250.0,0.016,0.51,13.4
121.0,390.0,0.033,0.62,9.2
120.0,490.0,0.023,0.68,6.3
145.6,500.0,0.026,0.76,6.6
145.5,510.0,0.037,0.94,95.4
114.2,225.0,0.032,0.88,21.6
147.0,210.0,0.014,0.49,7.9
120.8,330.0,0.016,0.6,37.0
110.7,200.0,0.015,0.65,62.7
144.3,750.0,0.039,0.49,343.0
121.3,270.0,0.012,0.61,25.4
112.2,470.0,0.019,0.37,97.4
125.4,460.0,0.02,1.15,97.3
153.2,400.0,0.016,0.54,19.9
134.4,165.0,0.008,0.36,9.2
127.5,330.0,0.012,0.56,6.2
114.6,510.0,0.032,1.36,198.0
124.1,530.0,0.017,0.58,16.2
149.2,70.0,0.017,0.48,4.9
134.6,450.0,0.026,0.65,62.3
118.7,150.0,0.022,0.63,5.2
117.1,340.0,0.041,0.56,141.0
139.9,560.0,0.017,0.59,8.1
113.5,260.0,0.042,0.95,141.0
122.0,105.0,0.025,0.51,6.6
105.0,390.0,0.031,1.15,229.0
100.3,300.0,0.041,1.04,48.1
164.6,120.0,0.014,0.53,4.4
141.0,205.0,0.064,0.7,5.0
133.9,155.0,0.009,0.45,10.6
122.4,100.0,0.014,0.44,4.1
142.0,130.0,0.02,0.45,6.3
104.0,325.0,0.024,0.85,58.7
117.6,550.0,0.091,2.55,479.0
137.8,125.0,0.014,0.54,3.9
167.0,270.0,0.012,0.7,5.0
128.0,170.0,0.01,0.65,9.3
131.2,340.0,0.02,0.46,4.5
162.0,165.0,0.078,0.38,7.3
154.6,100.0,0.016,0.42,20.7
