"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)"
108.9,90.0,0.011,0.39,6.8
119.0,230.0,0.017,0.54,19.4
141.0,225.0,0.012,0.49,8.2
111.0,170.0,0.01,0.5,5.0
124.1,180.0,0.011,0.43,43.8
121.5,220.0,0.043,1.05,57.0
132.0,250.0,0.008,0.44,1.1
121.0,150.0,0.015,0.26,3.8
116.0,235.0,0.011,0.41,16.7
109.5,520.0,0.012,0.69,16.7
171.3,310.0,0.011,0.38,6.7
106.0,340.0,0.024,0.7,3.0
100.7,290.0,0.009,0.55,3.2
124.9,180.0,0.008,0.5,4.0
138.0,210.0,0.01,0.23,2.1
99.6,150.0,0.011,0.58,2.0
122.7,480.0,0.011,0.53,2.5
93.8,110.0,0.055,0.84,8.0
100.0,160.0,0.04,0.24,10.0
116.0,285.0,0.052,0.82,323.0
126.0,320.0,0.024,1.975,15.0
92.8,300.0,0.022,1.47,51.0
108.0,420.0,0.011,0.37,3.6
99.1,250.0,0.052,1.38,19.0
97.5,280.0,0.015,0.8,11.0
124.0,230.0,0.077,0.94,59.0
92.0,180.0,0.009,0.63,18.4
104.4,505.0,0.006,0.57,14.7
96.0,200.0,0.004,0.44,25.0
111.0,160.0,0.006,0.38,6.5
131.0,235.0,0.039,0.16,111.0
130.0,150.0,0.012,0.72,8.1
117.1,120.0,0.003,0.46,5.4
130.9,145.0,0.012,0.26,39.2
124.0,160.0,0.013,0.73,10.9
115.0,230.0,0.003,0.46,5.7
107.0,150.0,0.003,0.37,49.7
107.0,210.0,0.044,1.47,34.4
141.6,140.0,0.002,0.37,3.5
111.0,125.0,0.004,0.4,2.9
128.9,120.0,0.006,0.64,4.9
101.0,180.0,0.014,0.63,17.9
105.4,600.0,0.006,0.55,10.9
122.0,180.0,0.004,0.39,2.9
105.0,200.0,0.039,1.21,36.3
117.0,270.0,0.03,0.8,7.0
126.4,205.0,0.012,0.61,19.4
132.0,170.0,0.016,0.73,26.0
110.0,220.0,0.093,0.83,13.0
115.9,155.0,0.007,0.56,5.8
103.2,220.0,0.022,1.21,4.0
99.3,175.0,0.012,0.84,2.0
33.4,120.0,0.011,0.62,3.0
99.4,225.0,0.022,1.06,14.0
111.0,190.0,0.011,0.47,3.8
98.6,110.0,0.022,0.46,2.0
109.0,340.0,0.009,0.54,5.5
116.1,220.0,0.018,0.99,57.4
95.4,160.0,0.015,0.4,5.0
109.1,145.0,0.013,0.44,49.4
178.0,175.0,0.012,0.45,3.2
129.0,175.0,0.008,0.16,5.0
91.0,300.0,0.011,0.755,15.0
116.1,405.0,0.009,0.37,4.0
121.4,320.0,0.021,0.76,7.8
95.0,300.0,0.026,1.92,74.0
101.0,140.0,0.038,0.7,3.0
98.0,750.0,0.017,0.67,42.0
140.0,280.0,0.016,0.12,10.0
130.0,190.0,0.018,0.37,3.7
142.7,240.0,0.02,0.75,5.9
115.0,180.0,0.032,0.08,9.0
100.5,170.0,0.011,1.8,138.0
143.0,240.0,0.009,0.73,12.7
103.5,200.0,0.018,0.76,7.4
102.0,280.0,0.017,0.6,12.0
113.0,510.0,0.01,0.59,9.5
129.4,590.0,0.017,0.71,31.3
104.4,100.0,0.011,0.5,2.0
114.0,185.0,0.009,0.92,18.0
106.3,140.0,0.011,0.61,2.0
114.0,260.0,0.009,0.721,2.0
122.3,205.0,0.018,0.71,28.6
135.4,170.0,0.017,0.65,9.8
117.7,100.0,0.022,1.31,7.0
115.9,50.0,0.022,0.87,8.0
123.0,260.0,0.008,0.57,6.1
133.5,200.0,0.014,0.18,11.0
124.0,320.0,0.007,0.39,9.4
125.4,500.0,0.011,0.75,14.3
109.0,250.0,0.016,0.74,28.1
108.0,160.0,0.017,0.72,46.4
111.0,220.0,0.011,0.56,9.8
125.0,115.0,0.011,0.5,23.7
163.0,120.0,0.005,0.4,3.5
126.0,440.0,0.016,0.927,10.0
113.0,300.0,0.015,0.7,31.7
107.2,500.0,0.033,1.11,23.5
125.0,300.0,0.006,0.53,7.9
122.8,560.0,0.02,0.71,8.0
110.0,180.0,0.011,0.49,8.6
112.3,260.0,0.039,0.76,12.0
102.8,135.0,0.011,0.58,34.0
113.0,130.0,0.012,0.65,8.9
109.0,175.0,0.018,0.74,22.7
86.6,250.0,0.01,0.68,4.9
109.0,120.0,0.03,0.71,40.8
116.7,360.0,0.018,0.66,118.0
109.0,150.0,0.068,0.7,99.6
107.0,200.0,0.04,1.32,90.5
108.0,130.0,0.004,1.01,163.0
115.1,200.0,0.021,0.85,28.9
120.0,210.0,0.01,0.68,34.6
114.0,200.0,0.015,0.68,21.8
113.0,180.0,0.018,0.66,59.4
92.5,120.0,0.075,1.22,54.0
154.1,200.0,0.007,0.59,23.2
47.0,300.0,0.009,0.36,4.9
112.0,160.0,0.024,0.91,34.3
112.0,310.0,0.06,1.6,139.0
114.4,200.0,0.016,0.68,28.7
107.1,190.0,0.004,0.73,39.7
95.0,300.0,0.091,2.9,613.0
150.0,160.0,0.004,1.92,139.0
105.0,360.0,0.032,3.75,71.3
99.3,120.0,0.008,0.82,28.6
101.4,240.0,0.019,0.72,40.7
113.0,130.0,0.009,0.73,64.5
115.8,170.0,0.012,0.65,32.9
97.6,575.0,0.004,1.02,195.0
72.0,180.0,0.002,0.69,54.8
112.0,200.0,0.005,0.7,13.7
128.3,270.0,0.009,0.48,16.6
87.6,150.0,0.005,0.44,24.0
92.5,135.0,0.007,0.44,22.6
104.2,180.0,0.021,0.68,62.8
123.0,200.0,0.004,0.63,58.3
107.7,350.0,0.014,0.825,90.5
84.0,225.0,0.002,0.55,2.1
103.0,110.0,0.008,0.82,86.7
92.0,330.0,0.027,1.53,81.6
95.0,225.0,0.006,0.44,24.9
105.0,190.0,0.006,0.45,23.0
124.0,210.0,0.006,0.39,12.2
101.0,125.0,0.006,0.76,96.9
108.1,200.0,0.005,0.4,9.9
114.0,170.0,0.008,0.46,17.1
99.3,220.0,0.002,0.37,6.2
80.8,160.0,0.012,0.64,15.9
96.0,130.0,0.008,0.77,37.8
136.0,110.0,0.006,0.39,8.2
107.1,225.0,0.01,0.8,11.3
87.0,360.0,0.009,0.55,4.0
99.1,190.0,0.006,0.45,8.3
117.0,250.0,0.003,0.47,12.8
154.2,240.0,0.004,0.74,12.7
93.8,270.0,0.011,0.4,4.0
115.5,155.0,0.003,0.79,33.8
94.1,285.0,0.007,0.72,8.0
106.0,190.0,0.002,0.2,51.0
115.6,240.0,0.022,0.59,15.8
123.0,210.0,0.006,1.2839999999999998,3.0
85.3,250.0,0.01,1.67,11.0
106.8,265.0,0.007,0.36,7.8
89.9,310.0,0.011,0.83,2.0
94.1,360.0,0.011,0.48,12.0
108.0,210.0,0.006,0.49,3.0
80.0,125.0,0.003,0.93,3.4
101.0,160.0,0.003,0.4,3.5
101.9,130.0,0.005,0.42,2.7
112.0,170.0,0.008,0.38,1.3
98.0,200.0,0.013,0.44,10.4
130.2,210.0,0.007,0.39,2.9
114.15,210.0,0.002,0.39,1.9
126.8,105.0,0.003,0.26,5.3
116.7,190.0,0.006,0.56,8.1
110.0,220.0,0.005,0.42,8.1
106.0,95.0,0.011,0.36,5.5
100.0,260.0,0.005,0.47,5.0
137.5,190.0,0.005,0.34,4.3
110.2,150.0,0.004,0.25,4.1
122.9,195.0,0.014,0.45,1.8
90.0,125.0,0.009,0.44,6.9
104.1,125.0,0.008,0.39,3.6
135.9,190.0,0.009,0.34,3.9
101.0,140.0,0.008,0.46,3.5
106.0,280.0,0.008,0.56,4.0
124.0,180.0,0.003,0.43,4.2
126.0,180.0,0.006,0.56,10.0
101.0,180.0,0.006,0.53,5.0
112.1,160.0,0.004,0.45,6.2
94.9,300.0,0.006,1.58,14.0
97.0,180.0,0.006,0.83,2.0
38.2,250.0,0.018,0.66,7.0
96.9,350.0,0.006,1.04,6.0
151.1,230.0,0.006,0.47,6.1
97.3,200.0,0.006,0.53,2.0
107.0,180.0,0.006,0.44,3.8
118.5,230.0,0.004,0.49,10.2
97.5,150.0,0.01,0.39,2.0
107.5,330.0,0.004,0.42,7.2
123.0,245.0,0.006,0.39,8.8
107.0,350.0,0.011,0.533,2.0
126.0,320.0,0.002,0.27,2.0
111.1,290.0,0.006,0.42,8.7
91.5,140.0,0.008,0.46,4.1
83.1,150.0,0.01,0.77,7.0
93.0,380.0,0.005,0.53,2.0
96.4,250.0,0.012,0.63,29.0
122.0,260.0,0.004,0.74,4.0
123.3,420.0,0.013,0.4,6.9
149.2,380.0,0.005,0.51,2.9
100.0,440.0,0.006,0.08,2.0
98.1,570.0,0.011,0.53,12.0
117.0,220.0,0.004,0.46,9.0
104.6,660.0,0.004,0.84,6.8
100.0,150.0,0.018,0.6,3.0
112.4,160.0,0.005,0.53,11.4
120.3,230.0,0.008,0.49,13.6
97.2,150.0,0.006,0.6,11.0
112.0,185.0,0.001,0.67,6.0
99.1,240.0,0.011,0.37,3.0
120.4,155.0,0.007,0.38,8.7
135.6,250.0,0.011,0.71,12.4
118.0,250.0,0.007,0.2,3.0
96.1,410.0,0.006,0.77,16.0
146.9,400.0,0.005,0.74,9.0
110.4,200.0,0.004,0.48,10.3
119.4,250.0,0.007,0.3,6.8
94.0,140.0,0.01,0.47,16.7
122.1,210.0,0.004,0.45,8.4
103.0,190.0,0.005,0.45,5.6
106.9,190.0,0.013,0.75,26.2
99.0,120.0,0.009,0.57,10.7
103.0,210.0,0.005,0.42,2.6
128.2,235.0,0.004,0.51,19.5
146.6,155.0,0.004,0.28,8.1
110.0,190.0,0.003,0.464,3.0
108.0,200.0,0.007,0.39,4.6
99.1,310.0,0.006,0.61,15.1
102.0,130.0,0.004,0.39,12.6
112.5,145.0,0.007,0.46,5.0
106.0,100.0,0.005,0.45,2.7
112.0,170.0,0.01,0.45,2.8
100.7,180.0,0.01,0.36,2.4
116.5,180.0,0.008,0.46,3.6
106.0,120.0,0.012,0.52,2.1
88.5,150.0,0.026,0.56,3.2
95.0,110.0,0.016,0.49,6.7
121.6,235.0,0.008,0.47,5.9
109.9,150.0,0.012,0.55,38.6
101.0,155.0,0.008,0.39,4.9
105.0,120.0,0.008,0.43,4.1
97.4,160.0,0.01,0.47,4.8
100.4,160.0,0.01,0.38,3.9
103.0,150.0,0.008,0.54,9.3
89.0,110.0,0.008,0.69,15.0
111.0,180.0,0.007,0.37,3.6
93.0,140.0,0.013,0.65,51.7
96.0,120.0,0.011,0.43,4.9
124.0,170.0,0.009,0.49,10.9
104.3,145.0,0.009,0.49,3.4
98.5,160.0,0.008,0.33,2.5
92.0,180.0,0.004,0.54,11.3
109.0,140.0,0.005,0.35,3.7
102.0,160.0,0.006,0.82,7.8
89.7,300.0,0.005,0.99,35.1
100.9,190.0,0.008,0.44,7.6
97.0,110.0,0.005,0.38,5.3
118.2,150.0,0.008,0.49,2.9
93.1,340.0,0.004,0.64,76.0
79.0,135.0,0.005,0.32,2.2
98.0,150.0,0.003,0.44,3.3
115.3,180.0,0.007,0.36,3.5
108.5,150.0,0.003,0.39,1.4
108.5,65.0,0.006,0.38,1.4
97.9,170.0,0.004,0.35,5.4
103.0,100.0,0.003,0.31,4.7
104.0,190.0,0.008,0.46,7.9
86.5,225.0,0.003,2.75,77.8
105.0,110.0,0.003,0.41,3.7
81.0,270.0,0.008,1.4,93.2
90.0,150.0,0.006,0.36,1.7
103.0,155.0,0.007,0.3,2.4
102.0,200.0,0.008,0.28,1.8
96.0,110.0,0.005,0.44,8.4
99.9,130.0,0.007,0.47,2.9
109.0,140.0,0.004,0.22,1.1
97.6,80.0,0.002,0.48,185.0
81.4,225.0,0.003,0.37,6.7
101.0,100.0,0.003,0.29,1.4
122.9,110.0,0.004,0.33,3.6
99.2,215.0,0.005,0.5,15.0
100.9,240.0,0.019,0.55,18.0
109.0,380.0,0.012,0.7,2.0
104.8,395.0,0.032,2.99,2.2
103.8,130.0,0.026,1.22,9.0
145.0,330.0,0.036,0.34,5.1
101.7,380.0,0.028,0.81,3.0
89.4,80.0,0.014,1.56,118.0
97.0,260.0,0.036,0.39,5.0
111.5,420.0,0.009,0.23,4.6
99.8,300.0,0.044,1.37,37.0
126.0,280.0,0.026,1.3290000000000002,6.0
128.4,350.0,0.038,1.59,12.8
101.8,200.0,0.018,0.55,5.0
108.0,280.0,0.03,0.38,2.4
119.0,240.0,0.05,1.64,149.0
78.0,400.0,0.01,0.73,84.0
90.3,190.0,0.024,0.69,96.0
97.9,235.0,0.011,0.4,1.7
92.9,250.0,0.029,0.53,2.0
127.5,320.0,0.013,0.48,8.9
113.4,210.0,0.012,0.37,5.3
104.0,230.0,0.01,0.08,3.0
95.3,190.0,0.011,0.89,4.0
99.0,235.0,0.017,0.64,9.0
97.5,100.0,0.013,0.79,3.0
97.2,155.0,0.017,0.88,7.0
129.2,230.0,0.042,0.42,2.2
101.0,250.0,0.011,0.47,6.3
106.0,330.0,0.023,0.08,10.0
113.0,210.0,0.019,0.34,5.3
200.0,185.0,0.012,0.3,2.0
124.0,225.0,0.007,0.34,2.2
139.5,260.0,0.015,0.31,1.2
97.4,170.0,0.02,0.63,8.0
98.0,225.0,0.018,0.5,5.0
114.0,310.0,0.022,0.53,2.0
103.8,140.0,0.015,0.65,3.0
103.5,200.0,0.016,0.59,6.0
99.8,300.0,0.294,0.44,4.0
109.5,170.0,0.012,0.4,3.5
106.3,180.0,0.018,0.27,2.0
98.0,235.0,0.022,1.0,3.0
134.0,240.0,0.078,0.54,15.0
101.2,250.0,0.03,0.89,5.0
99.7,285.0,0.028,1.3,5.0
109.0,130.0,0.03,0.6,3.0
95.0,360.0,0.023,0.71,9.0
133.0,200.0,0.012,0.31,1.2
99.9,200.0,0.014,1.29,54.0
99.0,180.0,0.085,0.63,4.0
112.7,305.0,0.019,0.3,4.6
100.9,200.0,0.024,0.5,3.0
108.0,295.0,0.027,1.21,94.0
106.0,270.0,0.016,0.39,5.5
107.4,250.0,0.031,0.6,33.2
100.8,200.0,0.015,0.29,2.0
106.5,310.0,0.031,0.42,47.1
120.0,200.0,0.175,0.6,3.0
127.9,270.0,0.023,0.4,6.7
124.2,300.0,0.017,0.52,3.1
106.4,750.0,0.017,0.62,2.0
94.5,170.0,0.027,2.27,252.0
118.1,160.0,0.019,0.45,4.2
107.4,295.0,0.024,0.75,7.0
125.0,300.0,0.028,0.534,2.0
129.7,330.0,0.028,1.69,9.8
112.8,310.0,0.025,0.43,3.8
152.2,310.0,0.036,0.47,7.3
129.0,220.0,0.008,0.85,6.0
94.0,310.0,0.156,1.17,3.0
125.0,240.0,0.043,0.08,5.0
135.0,345.0,0.046,0.36,17.3
102.2,370.0,0.011,0.78,20.0
120.5,290.0,0.014,0.64,8.7
158.7,150.0,0.011,0.67,4.0
121.8,280.0,0.017,0.38,5.8
122.9,110.0,0.022,0.6,2.0
103.0,290.0,0.052,0.9,3.0
123.5,350.0,0.01,0.41,6.1
118.2,190.0,0.011,0.28,4.0
133.0,230.0,0.019,0.451,4.0
119.0,295.0,0.004,1.2,6.0
102.5,310.0,0.016,0.4,9.3
146.1,310.0,0.018,0.46,4.6
144.7,345.0,0.012,0.44,11.9
117.3,155.0,0.016,0.5,3.0
106.4,270.0,0.013,0.41,5.1
103.1,360.0,0.02,0.63,19.8
114.0,200.0,0.029,0.626,2.0
116.0,525.0,0.021,1.1,160.0
130.7,-99.0,0.014,0.59,4.0
140.8,425.0,0.014,0.57,14.8
101.0,220.0,0.005,0.18,7.0
178.2,150.0,0.012,0.39,4.6
98.0,360.0,0.042,1.11,20.0
149.9,125.0,0.017,0.97,39.0
95.9,200.0,0.022,1.08,68.0
121.8,305.0,0.007,0.43,4.8
122.8,240.0,0.012,0.52,3.0
143.1,290.0,0.011,0.79,3.0
111.8,190.0,0.022,0.97,10.0
84.0,320.0,0.039,0.421,14.0
106.7,315.0,0.027,0.85,6.5
135.2,145.0,0.011,0.65,3.0
140.1,240.0,0.015,0.58,3.0
104.8,400.0,0.016,0.65,48.2
170.6,220.0,0.035,0.6,6.4
165.0,295.0,0.021,0.58,3.4
92.6,175.0,0.061,0.73,20.9
117.8,245.0,0.027,0.67,8.9
103.0,350.0,0.027,0.68,10.0
105.5,120.0,0.03,0.68,5.0
79.0,260.0,0.045,1.08,33.0
105.1,235.0,0.033,0.8,31.0
70.0,210.0,0.181,0.88,45.0
94.2,260.0,0.042,0.92,15.0
114.7,270.0,0.033,0.49,8.1
89.0,90.0,0.052,1.28,37.0
92.9,240.0,0.011,0.82,35.0
94.5,180.0,0.037,0.91,33.0
96.8,500.0,0.035,1.67,206.0
101.0,230.0,0.033,0.55,22.4
92.7,330.0,0.049,2.33,583.0
124.1,240.0,0.018,0.66,32.0
201.5,190.0,0.038,0.76,57.0
106.1,190.0,0.025,0.46,12.7
78.0,260.0,0.077,0.232,24.0
104.0,230.0,0.027,0.6,15.0
125.0,240.0,0.013,0.59,12.0
104.3,170.0,0.014,0.55,12.0
111.6,230.0,0.013,0.5,18.5
96.5,260.0,0.012,0.47,21.2
97.0,370.0,0.057,1.0,62.0
112.0,260.0,0.014,0.96,111.0
88.3,220.0,0.044,0.58,9.0
95.6,185.0,0.022,0.79,15.0
107.1,155.0,0.019,0.46,13.3
94.9,60.0,0.019,1.06,30.0
83.0,200.0,0.009,0.75,21.0
91.3,400.0,0.022,0.91,30.0
109.0,480.0,0.03,1.35,167.0
110.0,230.0,0.021,0.79,49.0
95.0,200.0,0.012,0.6,5.0
103.0,305.0,0.021,0.52,16.0
94.0,225.0,0.012,0.55,11.0
100.8,120.0,0.029,0.41,14.0
148.6,225.0,0.01,0.32,2.6
128.6,190.0,0.008,0.31,4.1
98.9,205.0,0.022,0.71,9.0
92.0,240.0,0.013,0.2,13.0
119.1,205.0,0.005,0.31,5.4
114.0,200.0,0.011,0.7,23.0
96.8,285.0,0.019,0.46,7.0
133.4,210.0,0.011,0.4,8.0
106.8,330.0,0.01,0.5,10.7
96.6,310.0,0.022,0.66,7.0
86.0,190.0,0.652,0.59,22.0
108.0,250.0,0.017,0.4,19.0
81.0,190.0,0.017,0.713,32.0
137.4,200.0,0.014,0.56,2.0
107.0,200.0,0.021,0.73,16.9
104.8,295.0,0.013,0.53,9.0
125.2,210.0,0.04,0.71,4.0
89.8,320.0,0.039,1.0,86.1
79.0,260.0,0.01,0.42,6.9
95.9,225.0,0.019,0.52,3.0
95.8,195.0,0.028,0.65,3.0
103.5,180.0,0.01,0.64,8.2
100.0,250.0,0.019,1.45,4.0
99.7,250.0,0.022,0.96,2.0
106.7,285.0,0.014,0.88,5.0
136.8,270.0,0.03,0.44,2.9
100.9,160.0,0.025,0.33,4.6
102.0,360.0,0.024,0.6,6.0
91.5,145.0,0.042,0.5,5.8
104.4,310.0,0.02,0.44,2.0
142.0,165.0,0.044,0.49,5.3
99.1,120.0,0.036,0.87,2.0
85.5,130.0,0.055,1.19,15.0
94.0,250.0,0.037,0.38,8.0
109.8,220.0,0.01,0.45,2.7
98.0,150.0,0.055,1.56,39.0
122.0,240.0,0.031,1.529,8.0
128.2,260.0,0.044,0.56,13.8
101.2,210.0,0.027,0.66,3.0
90.7,470.0,0.056,0.4,2.9
120.0,240.0,0.058,1.78,95.0
78.0,280.0,0.018,0.614,70.0
98.2,290.0,0.042,0.67,7.0
87.7,150.0,0.008,0.37,0.9
89.1,270.0,0.011,0.56,2.0
125.2,205.0,0.012,0.47,8.1
111.7,155.0,0.014,0.18,3.7
101.0,160.0,0.009,0.25,3.0
93.7,205.0,0.011,0.95,5.0
96.0,185.0,0.02,0.78,13.0
93.6,220.0,0.032,0.89,3.0
103.1,175.0,0.013,0.87,5.0
134.0,215.0,0.017,0.42,2.8
112.6,305.0,0.024,0.56,21.9
98.0,150.0,0.007,0.42,3.2
115.0,130.0,0.01,0.39,3.2
111.0,170.0,0.025,0.08,16.0
198.4,290.0,0.015,0.44,4.2
125.3,210.0,0.009,0.4,4.2
142.0,245.0,0.007,0.31,2.2
100.5,185.0,0.022,0.48,6.0
91.0,240.0,0.02,0.6,5.0
115.0,290.0,0.026,0.562,11.0
114.7,200.0,0.014,0.81,2.0
103.8,300.0,0.02,0.62,3.0
100.1,180.0,0.013,0.44,7.8
106.6,235.0,0.012,0.45,4.1
109.6,190.0,0.02,0.34,2.0
98.3,170.0,0.035,0.62,6.0
122.0,170.0,1.65,1.0,19.0
102.0,250.0,0.044,0.85,11.0
97.9,200.0,0.046,1.37,8.0
99.0,250.0,0.037,0.5,3.0
95.0,290.0,0.054,0.63,22.0
129.8,230.0,0.014,0.39,3.2
95.8,230.0,0.021,0.88,2.0
102.6,160.0,0.055,0.76,6.0
106.6,205.0,0.011,0.34,4.0
102.8,200.0,0.055,0.58,2.0
105.0,225.0,0.039,1.27,110.0
111.0,160.0,0.026,0.52,22.6
109.9,435.0,0.036,0.27,41.1
98.0,200.0,0.016,0.41,2.0
103.7,275.0,0.019,0.29,8.5
106.0,140.0,0.145,0.81,6.0
132.9,240.0,0.021,0.37,3.0
123.5,195.0,0.02,0.37,2.0
105.2,170.0,0.094,0.83,4.0
93.0,140.0,0.055,2.16,264.0
111.3,230.0,0.038,0.39,3.6
106.9,340.0,0.048,0.91,5.0
114.0,200.0,0.029,0.465,2.0
122.5,175.0,0.036,0.35,11.8
113.3,470.0,0.037,0.4,4.5
143.8,400.0,0.038,0.52,8.4
128.0,160.0,0.01,0.78,5.0
90.0,280.0,0.0008,0.91,8.0
119.0,110.0,0.076,0.11,11.0
131.9,285.0,0.061,0.35,19.0
104.9,260.0,0.011,0.82,50.0
118.0,305.0,0.022,0.54,8.4
149.0,220.0,0.022,1.44,11.0
114.5,240.0,0.014,0.49,17.6
136.1,210.0,0.055,0.58,60.0
105.0,240.0,0.126,1.03,2.0
125.2,130.0,0.011,0.44,5.6
122.4,150.0,0.021,0.53,2.0
128.0,200.0,0.035,0.716,4.0
120.0,210.0,0.0009,0.39,8.0
101.0,260.0,0.022,0.3,5.8
163.4,230.0,0.028,0.63,9.8
141.3,300.0,0.021,0.75,48.9
123.4,280.0,0.055,0.73,10.0
95.6,90.0,0.055,1.84,4.0
101.3,210.0,0.012,0.51,5.2
101.0,330.0,0.036,0.65,126.0
100.0,140.0,0.031,0.618,2.0
112.5,290.0,0.024,0.82,131.0
158.8,260.0,0.016,0.56,2.0
133.8,380.0,0.022,0.64,19.9
100.0,160.0,0.01,0.29,7.0
169.2,180.0,0.017,0.25,4.4
90.0,330.0,0.045,1.35,35.0
142.5,140.0,0.055,1.03,8.0
92.7,210.0,0.055,1.03,64.0
118.0,210.0,0.005,0.63,6.4
132.7,175.0,0.011,0.54,2.0
111.7,225.0,0.055,0.84,11.0
160.0,260.0,0.055,0.74,2.0
71.0,200.0,0.035,1.837,17.0
106.7,152.0,0.013,0.67,4.1
147.3,230.0,0.015,0.62,3.0
140.2,200.0,0.023,1.49,4.0
104.9,410.0,0.028,0.94,94.7
183.8,315.0,0.047,0.38,6.2
186.9,220.0,0.016,0.32,7.4
94.5,230.0,0.022,0.57,5.4
127.4,225.0,0.039,0.84,10.6
100.0,400.0,0.041,1.1,10.0
104.0,215.0,0.011,1.57,11.0
123.9,180.0,0.022,0.99,6.0
94.0,230.0,0.025,0.71,10.0
103.2,150.0,0.027,0.74,19.0
80.0,240.0,0.0009,0.87,17.0
94.9,255.0,0.055,1.13,8.0
111.0,205.0,0.014,0.5,11.8
98.2,130.0,0.055,1.16,9.0
98.3,190.0,0.016,0.83,15.0
119.3,145.0,0.019,0.82,4.0
94.5,350.0,0.036,1.35,117.0
114.0,140.0,0.019,0.53,6.2
98.8,390.0,0.059,4.54,457.0
128.1,22.0,0.018,0.75,26.0
201.9,255.0,0.023,0.71,9.0
101.7,230.0,0.013,0.49,12.0
68.0,230.0,0.058,1.4,46.0
79.0,200.0,0.021,0.2,12.0
91.0,320.0,0.025,0.9,27.0
138.8,200.0,0.011,0.59,3.0
117.9,100.0,0.014,0.65,5.0
106.5,220.0,0.007,0.51,7.2
87.7,210.0,0.01,0.5,8.6
94.0,250.0,0.055,0.97,36.0
100.0,220.0,0.009,0.52,5.8
84.5,280.0,0.013,0.2,6.0
92.6,240.0,0.022,0.75,8.0
111.7,215.0,0.007,0.55,4.8
98.4,180.0,0.055,0.99,9.0
81.0,160.0,0.012,0.8,9.0
88.6,225.0,0.055,1.38,122.0
93.6,310.0,0.036,1.45,197.0
112.6,310.0,0.016,0.62,15.0
81.0,220.0,0.001,0.9,10.0
117.0,150.0,0.008,0.41,5.1
78.0,215.0,0.018,0.84,8.0
102.5,290.0,0.01,0.49,3.0
161.8,170.0,0.006,0.43,3.5
124.2,210.0,0.006,0.37,3.8
90.9,190.0,0.055,0.96,9.0
85.0,170.0,0.013,0.2,6.0
106.5,310.0,0.014,0.65,28.5
115.0,250.0,0.005,0.47,10.4
113.7,170.0,0.015,0.95,20.0
87.6,130.0,0.005,0.47,4.7
150.9,265.0,0.011,0.47,2.0
87.7,220.0,0.022,0.88,3.0
73.0,220.0,0.027,0.73,15.0
92.0,205.0,0.009,0.5,8.0
84.0,270.0,0.011,0.703,14.0
149.1,125.0,0.011,0.49,2.0
119.0,165.0,0.008,0.4,1.9
97.6,260.0,0.011,0.63,10.0
87.5,220.0,0.032,0.95,74.0
124.5,200.0,0.011,0.52,15.0
117.2,160.0,0.03,0.43,5.1
96.9,265.0,0.011,0.61,3.0
93.4,400.0,0.158,0.8,2.0
104.2,265.0,0.009,0.5,7.7
85.0,120.0,0.004,0.76,6.0
